Timestamp,ID,X,Y,Depth,Emotion,Gaze,Note
2025-07-02T12:53:33.186558,6,26,241,0,Unknown,Unknown,
2025-07-02T12:53:34.089298,1,330,170,1175,Unknown,Center,
2025-07-02T12:53:34.089298,3,34,204,0,,Unknown,
2025-07-02T12:53:34.089298,6,29,217,0,Unknown,Unknown,
2025-07-02T12:53:34.844820,1,329,170,1175,Unknown,Unknown,
2025-07-02T12:53:34.844820,3,34,204,0,,Unknown,
2025-07-02T12:53:34.844820,6,26,212,0,Unknown,Unknown,
2025-07-02T12:53:35.625004,1,328,169,1175,Unknown,Unknown,
2025-07-02T12:53:35.625004,3,34,204,0,,Unknown,
2025-07-02T12:53:35.625004,6,24,206,0,Unknown,Unknown,
2025-07-02T12:53:36.496480,1,328,168,1171,Unknown,Center,
2025-07-02T12:53:36.496480,3,36,204,0,,Unknown,
2025-07-02T12:53:36.496480,6,21,201,0,Unknown,Unknown,
2025-07-02T12:53:37.367927,1,327,167,1175,Unknown,Center,
2025-07-02T12:53:37.367927,3,36,204,0,,Unknown,
2025-07-02T12:53:37.367927,6,19,196,0,Unknown,Unknown,
2025-07-02T12:53:38.270672,1,327,167,1175,Unknown,Center,
2025-07-02T12:53:38.270672,3,36,204,0,,Unknown,
2025-07-02T12:53:38.270672,6,48,232,0,,Unknown,
2025-07-02T12:53:39.189020,1,326,166,1183,Unknown,Center,
2025-07-02T12:53:39.189020,3,36,204,0,,Unknown,
2025-07-02T12:53:39.674894,6,39,228,1309,,Unknown,
2025-07-02T12:53:40.593225,1,325,165,1175,Unknown,Center,
2025-07-02T12:53:40.608860,3,36,204,0,,Unknown,
2025-07-02T12:53:40.608860,6,36,155,0,,Unknown,
2025-07-02T12:53:41.364332,1,325,165,1171,Unknown,Unknown,
2025-07-02T12:53:41.364332,3,36,204,0,,Unknown,
2025-07-02T12:53:41.364332,6,37,148,0,Unknown,Unknown,
2025-07-02T12:53:42.197963,1,324,164,1179,Unknown,Unknown,
2025-07-02T12:53:42.197963,3,36,204,0,,Unknown,
2025-07-02T12:53:42.197963,6,37,141,0,Unknown,Unknown,
2025-07-02T12:53:43.015985,1,324,164,1179,Unknown,Unknown,
