Timestamp,ID,X,Y,Depth,Emotion,Gaze,Note
2025-05-10T17:28:45.224534,1,367,279,780,neutral,Center,
2025-05-10T17:28:45.356063,2,564,221,2069,,Center,
2025-05-10T17:28:46.164745,1,364,279,778,fear,Center,
2025-05-10T17:28:46.280396,2,564,223,1763,,Center,
2025-05-10T17:28:46.995393,1,368,281,778,,Center,
2025-05-10T17:28:47.198548,2,517,201,1388,,Right,
2025-05-10T17:28:47.830908,1,365,268,774,happy,Center,
2025-05-10T17:28:47.850710,2,504,199,0,,Unknown,
2025-05-10T17:28:48.547686,1,366,272,774,,Center,
2025-05-10T17:28:48.710461,2,490,196,3640,,Unknown,
2025-05-10T17:28:49.434527,1,369,278,780,,Center,
2025-05-10T17:28:49.514577,2,476,194,3565,,Center,
2025-05-10T17:28:50.236656,1,372,280,785,,Center,
2025-05-10T17:28:50.415052,2,462,191,3458,,Unknown,
2025-05-10T17:28:51.094420,1,374,281,785,,Center,
2025-05-10T17:28:51.399424,2,449,189,3357,,Unknown,
2025-05-10T17:28:52.171375,1,375,280,787,,Center,
2025-05-10T17:28:52.388569,2,435,186,3293,,Unknown,
2025-05-10T17:28:53.308805,1,375,281,781,,Center,
2025-05-10T17:28:53.310804,2,421,184,0,Unknown,Center,
2025-05-10T17:28:54.863068,1,377,281,783,,Center,
2025-05-10T17:28:54.864070,2,408,182,0,Unknown,Center,
2025-05-10T17:28:55.588086,1,370,257,648,,Right,
2025-05-10T17:28:55.788686,2,394,179,576,Unknown,Unknown,
2025-05-10T17:28:56.289791,1,373,244,0,,Center,
2025-05-10T17:28:56.289791,2,380,177,0,Unknown,Unknown,
2025-05-10T17:28:56.759537,1,371,237,0,,Center,
2025-05-10T17:28:56.759537,2,366,174,0,Unknown,Unknown,
2025-05-10T17:28:57.232275,1,372,237,0,Unknown,Center,
2025-05-10T17:28:57.232275,2,352,172,0,Unknown,Unknown,
2025-05-10T17:28:57.866097,1,374,235,461,Unknown,Center,
2025-05-10T17:28:58.185910,2,339,170,452,Unknown,Unknown,
2025-05-10T17:28:58.912165,1,373,236,441,Unknown,Center,
2025-05-10T17:28:58.912165,2,325,167,0,Unknown,Unknown,
2025-05-10T17:28:59.643940,1,380,236,473,Unknown,Right,
2025-05-10T17:28:59.643940,2,311,165,0,Unknown,Unknown,
2025-05-10T17:29:00.341559,1,389,237,490,Unknown,Right,
2025-05-10T17:29:00.341559,2,298,162,0,,Unknown,
2025-05-10T17:29:01.214361,1,392,237,482,Unknown,Center,
2025-05-10T17:29:01.214361,2,284,160,0,,Unknown,
2025-05-10T17:29:01.894004,1,392,238,467,Unknown,Center,
2025-05-10T17:29:01.896005,2,270,157,0,,Unknown,
2025-05-10T17:29:02.349871,1,382,237,0,Unknown,Center,
2025-05-10T17:29:02.351870,2,257,155,0,,Unknown,
2025-05-10T17:29:02.758947,1,388,238,0,Unknown,Center,
2025-05-10T17:29:02.760945,2,243,152,0,,Unknown,
2025-05-10T17:29:03.472589,1,388,238,0,,Right,
2025-05-10T17:29:03.483460,2,229,150,0,,Unknown,
2025-05-10T17:29:04.027372,1,389,239,0,,Center,
2025-05-10T17:29:04.027372,2,215,147,0,,Unknown,
2025-05-10T17:29:05.133616,1,377,239,0,happy,Center,
2025-05-10T17:29:05.137414,2,202,145,0,,Unknown,
2025-05-10T17:29:06.032346,1,397,246,783,,Center,
2025-05-10T17:29:06.430629,2,188,142,2434,,Unknown,
2025-05-10T17:29:07.175937,1,398,257,799,,Center,
2025-05-10T17:29:07.567571,2,174,140,2367,,Unknown,
2025-05-10T17:29:08.146983,1,399,260,0,,Center,
2025-05-10T17:29:08.705382,2,161,137,2351,Unknown,Unknown,
2025-05-10T17:29:09.694989,1,395,264,792,,Center,
2025-05-10T17:29:10.064839,2,148,135,2320,Unknown,Unknown,
2025-05-10T17:29:10.936033,1,398,264,807,,Center,
2025-05-10T17:29:11.299383,2,134,133,2304,Unknown,Unknown,
2025-05-10T17:29:12.339791,1,399,265,813,,Center,
2025-05-10T17:29:12.355425,2,120,130,2274,Unknown,Unknown,
2025-05-10T17:29:13.489311,1,398,264,813,,Right,
2025-05-10T17:29:13.921625,2,106,128,2259,Unknown,Center,
2025-05-10T17:29:14.661275,1,399,265,0,,Right,
2025-05-10T17:29:15.721276,1,405,266,816,,Center,
2025-05-10T17:29:16.079034,5,205,307,672,,Center,
